CTR,SUMLEV,COUNTY,TRACT,BG,POP_TOTAL,HU_TOTAL,pop.0to5.yrs,pop.6to11.yrs,pop.12to17.yrs,pop.18to24.yrs,pop.25to44.yrs,pop.45to54.yrs,pop.55to64.yrs,pop.65plus,pop.65to74.yrs,pop.75plus,Composite.MOS,BG.prob,Wrkld.18to24.yrs,Wrkld.25to44.yrs,Wrkld.45to54.yrs,Wrkld.55to64.yrs,Wrkld.65plus,Total.wrkld
1,150,3,701101,1,2462,877,146,248,324,120,715,504,294,190,155,35,4.971302779,0.124282569,4.895262992,7.149271943,11.31857327,10.36692639,6.269965405,40
2,150,3,701101,2,1263,522,71,62,55,85,296,257,161,171,83,88,2.922982592,0.073074565,5.897360741,5.033748025,9.816083849,9.655450603,9.597356782,40
3,150,3,701102,1,1779,787,78,61,125,180,557,308,224,167,95,72,4.131005133,0.103275128,8.836530239,6.702324496,8.323890278,9.505285873,6.631969114,40
4,150,3,701102,2,950,369,38,69,48,76,300,166,110,184,77,107,2.45815002,0.06145375,6.270038472,6.0665092,7.539300764,7.844354286,12.27979728,40
5,150,3,701102,3,1843,662,142,208,260,60,717,224,113,119,94,25,2.803681001,0.070092025,4.339979211,12.71207794,8.919711027,7.06517208,6.963059739,40
6,150,3,701102,4,1760,755,143,117,135,128,600,239,184,179,124,55,3.602138138,0.090053453,7.206337594,8.279743384,7.407452963,8.954273566,8.152192493,40
7,150,3,701200,1,1470,609,96,251,126,61,445,230,142,226,120,106,3.053412437,0.076335311,4.05143954,7.244368454,8.409568855,8.152217786,12.14240536,40
8,150,3,701200,2,1847,747,184,95,152,105,549,305,164,176,142,34,3.506410082,0.087660252,6.072836521,7.782795661,9.711101603,8.198870764,8.234395452,40
9,150,3,701200,3,1827,733,102,108,122,110,741,230,189,250,103,147,3.974084169,0.099352104,5.613330608,9.268450545,6.461333238,8.336766587,10.32011902,40
10,150,3,701200,4,1683,694,153,102,151,118,507,334,180,100,77,23,3.359487,0.083987175,7.123181985,7.50172232,11.0995371,9.392310456,4.883248143,40
11,150,3,701300,1,1824,630,133,172,158,95,493,319,307,199,88,111,4.146208751,0.103655219,4.646623011,5.910466299,8.589559337,12.97956419,7.873787159,40
12,150,3,701300,2,1601,547,98,102,174,94,409,303,162,188,147,41,3.311531241,0.082788281,5.756572711,6.139322414,10.21515914,8.575492218,9.313453513,40
13,150,3,701300,3,1087,369,58,66,106,106,283,170,175,78,48,30,2.450405953,0.061260149,8.772690825,5.740826036,7.745371399,12.51909425,5.222017492,40
14,150,3,701300,4,2483,885,163,250,311,121,688,529,243,223,148,75,4.924436833,0.123110921,4.983033384,6.944769841,11.99307269,8.650129349,7.428994733,40
15,150,3,701400,1,524,219,28,51,37,17,114,99,58,130,72,58,1.29152246,0.032288062,2.669389548,4.387618693,8.557848549,7.872250941,16.51289227,40
16,150,3,701400,2,272,113,13,10,16,10,81,13,43,77,43,34,0.691886104,0.017297153,2.93109834,5.819375762,2.097684211,10.89448604,18.25735565,40
17,150,3,701400,3,32,16,0,0,11,0,16,0,0,7,0,7,0.048592301,0.001214808,0,16.36735507,0,0,23.63264493,40
18,150,3,701400,4,1862,647,137,163,189,105,525,359,175,196,98,98,3.757535849,0.093938396,5.666973266,6.945158488,10.66651825,8.164090592,8.5572594,40
19,150,3,702100,1,2525,976,99,244,169,136,730,497,344,245,164,81,5.496217265,0.137405432,5.018108114,6.602143477,10.09540768,10.97153644,7.312804291,40
20,150,3,702100,2,736,328,80,13,27,45,231,140,63,96,83,13,1.575779106,0.039394478,5.791381487,7.286897023,9.918912588,7.008387573,9.994421329,40
