CTR,SUMLEV,COUNTY,TRACT,NAME,POP_TOTAL,HU_TOTAL,pop.0to5.yrs,pop.6to11.yrs,pop.12to17.yrs,pop.18to24yrs,pop.25to44yrs,pop.45to54.yrs,pop.55to64.yrs,pop.65plus,pop.65to74.yrs,pop.75plus,Composite.MOS,Tract.prob,Wrkld.18to24.yrs,Wrkld.25to44yrs,Wrkld.45to54yrs,Wrkld.55to64yrs,Wrkld.65plus,Total.wrkld
1,140,3,701101,Census Tract 7011.01,3725,1399,217,310,379,205,1011,761,455,361,238,123,7.89,0.197,5.3,6.4,10.8,10.1,7.5,40.0
2,140,3,701102,Census Tract 7011.02,6332,2573,401,455,568,444,2174,937,631,649,390,259,12.99,0.325,6.9,8.3,8.0,8.5,8.2,40.0
3,140,3,701200,Census Tract 7012,6827,2783,535,556,551,394,2242,1099,675,752,442,310,13.89,0.347,5.8,8.0,8.8,8.5,8.9,40.0
4,140,3,701300,Census Tract 7013,6995,2431,452,590,749,416,1873,1321,887,688,431,257,14.83,0.371,5.7,6.3,9.9,10.5,7.6,40.0
5,140,3,701400,Census Tract 7014,2690,995,178,224,253,132,736,471,276,410,213,197,5.79,0.145,4.6,6.3,9.1,8.4,11.6,40.0
6,140,3,702100,Census Tract 7021,6122,2504,324,570,386,374,1783,1324,779,541,375,166,13.44,0.336,5.6,6.6,11.0,10.2,6.6,40.0
7,140,3,702201,Census Tract 7022.01,9154,3773,661,788,632,592,2793,1651,1126,845,467,378,19.48,0.487,6.2,7.1,9.5,10.1,7.1,40.0
8,140,3,702202,Census Tract 7022.02,15458,5613,1559,1682,1449,877,6428,1889,841,558,306,252,23.68,0.592,7.5,13.5,8.9,6.2,3.9,40.0
9,140,3,702203,Census Tract 7022.03,2424,827,161,219,193,87,690,547,276,216,154,62,4.92,0.123,3.6,7.0,12.4,9.8,7.2,40.0
10,140,3,702300,Census Tract 7023,5265,1865,369,572,396,263,1370,1055,755,458,297,161,11.17,0.279,4.8,6.1,10.5,11.9,6.7,40.0
11,140,3,702401,Census Tract 7024.01,4733,2466,129,156,230,189,622,523,617,2267,1082,1185,15.19,0.380,2.5,2.0,3.8,7.1,24.5,40.0
12,140,3,702402,Census Tract 7024.02,4790,2335,226,222,273,215,1188,905,788,951,385,566,12.45,0.311,3.5,4.7,8.1,11.1,12.5,40.0
13,140,3,702500,Census Tract 7025,5251,1814,525,511,575,468,1619,723,354,433,286,147,9.73,0.243,9.8,8.3,8.3,6.4,7.3,40.0
14,140,3,702601,Census Tract 7026.01,5709,2206,456,546,490,280,1798,946,575,558,330,228,11.10,0.278,5.1,8.0,9.5,9.1,8.2,40.0
15,140,3,702602,Census Tract 7026.02,5754,2411,458,513,383,228,1670,1087,654,713,420,293,12.06,0.301,3.8,6.9,10.1,9.5,9.7,40.0
16,140,3,702700,Census Tract 7027,7968,3574,420,388,415,571,3003,1289,951,902,460,442,18.09,0.452,6.4,8.3,8.0,9.2,8.2,40.0
17,140,3,702800,Census Tract 7028,430,17,0,0,46,24,247,75,45,15,4,11,0.90,0.022,5.4,13.7,9.3,8.8,2.7,40.0
18,140,3,706101,Census Tract 7061.01,3625,1808,177,188,227,619,1136,490,345,422,202,220,9.16,0.229,13.7,6.2,6.0,6.6,7.6,40.0
19,140,3,706300,Census Tract 7063,7828,4520,417,349,368,464,2649,1300,902,1313,626,687,18.61,0.465,5.1,7.1,7.8,8.5,11.6,40.0
20,140,3,706401,Census Tract 7064.01,5736,2278,330,435,272,551,2034,860,565,602,369,233,12.67,0.317,8.8,8.0,7.6,7.8,7.8,40.0
